id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1315285396336702590,Spacious Duplex/15 Min to NYC/Parking/Fire Pit,567282435,Daniel,,Ward D (councilmember Michael Yun),40.747277287454565,-74.04532288677443,Entire home/apt,416,2,30,2025-09-15,3.32,8,282,30,STR-673585-2024
1315615243815259315,The Sunset - Luxury NYC,257606572,Daniel,,Ward E (councilmember James Solomon),40.72014,-74.03246,Entire home/apt,539,1,1,2025-09-01,1,2,265,1,STR-006020-2025
1316648349723895500,Garden style apartment,39171380,Jon,,Ward C (councilmember Richard Boggiano),40.73835332568919,-74.05915973727457,Entire home/apt,83,5,6,2025-07-05,1.11,1,304,6,Str-000002-2025
1317064684639179892,Prime Location • NYC Luxury Condo • Free Parking,460867162,Ranjani,,Ward D (councilmember Michael Yun),40.74898,-74.05325,Entire home/apt,177,1,35,2025-09-11,3.90,2,95,35,STR-000047-2025
1317469060686410373,Spacious Brownstone Hideaway,5259288,David,,Ward E (councilmember James Solomon),40.71806857037018,-74.04522031979509,Entire home/apt,194,2,31,2025-09-18,3.47,1,278,31,STR-005363-2024
1318397594071649308,Cozy Urban Sanctuary,385830283,Christina,,Ward C (councilmember Richard Boggiano),40.74058704631759,-74.0604736323325,Entire home/apt,129,2,6,2025-08-25,1.23,1,319,6,STR-001577-2025
1318480096664587629,Spacious Pvt Room in Jersey City,157133703,Ateequeullah,,Ward D (councilmember Michael Yun),40.74955311869998,-74.05273351818323,Private room,60,29,0,,,1,180,0,
1319017045959457766,The Aurelia - Luxury Industrial Loft near NYC,666585664,Jeffrey Raphael,,Ward E (councilmember James Solomon),40.7200086,-74.0378154,Entire home/apt,204,30,3,2025-09-22,0.39,2,308,3,
1319560067915966975,The Celestia - Luxury Waterfront Condo near NYC,666585664,Jeffrey Raphael,,Ward E (councilmember James Solomon),40.7155658,-74.0451449,Entire home/apt,198,30,0,,,2,237,0,
1319757062259613424,"Hotel-Style– No Host, Professionally Managed ID273",28260018,Bp Stays.,,Ward F (councilmember Jermaine D. Robinson),40.71909,-74.06693,Private room,68,3,8,2025-09-10,1.60,59,350,8,STR-001817-2025
1319773292952011434,"Hotel-Style– No Host, Professionally Managed ID274",28260018,Bp Stays.,,Ward F (councilmember Jermaine D. Robinson),40.719255849625775,-74.06701605471005,Private room,62,3,10,2025-08-08,1.13,59,346,10,STR-001817-2025
1319783992417803079,"Hotel-Style– No Host, Professionally Managed ID275",28260018,Bp Stays.,,Ward F (councilmember Jermaine D. Robinson),40.719247582529526,-74.06903341374507,Private room,73,3,12,2025-07-03,1.43,59,320,12,STR-001817-2025
1320014451318210116,Summer discount Posh star amenities WTC view,667290279,Vishnu,,Ward E (councilmember James Solomon),40.7272,-74.04057,Entire home/apt,87,28,0,,,3,328,0,
1320629527274222659,"3 bedrooms apt,2 baths,15 mins to NYC",668986064,Hany,,Ward A (councilmember Denise Ridley),40.70136,-74.08069,Entire home/apt,221,2,11,2025-09-15,1.23,1,327,11,STR-006193-2024
1320767621217629978,N4-10 mins ride,125202325,Grayson,,Ward C (councilmember Richard Boggiano),40.73489,-74.05953,Private room,41,30,0,,,9,360,0,
1321109111923314382,"Cozy Stay w/ Games, Yard – 15 min to NYC, Sleeps 6",203888976,Thais,,Ward C (councilmember Richard Boggiano),40.738,-74.05257,Entire home/apt,289,2,7,2025-09-22,0.83,1,109,7,STR-003258-2024
1322455540600734087,Entire Luxury Condo - 10mins walk to JSQ Path,214099486,Bhanu Prabha,,Ward C (councilmember Richard Boggiano),40.73922,-74.06748,Entire home/apt,213,28,14,2025-07-16,2.16,1,139,14,STR-000048-2025
1322776312791568132,Cozy master BR in Jersey City,71719531,Audrey,,Ward F (councilmember Jermaine D. Robinson),40.71247,-74.05834,Private room,75,30,1,2025-08-06,0.59,2,122,1,STR-001951-2025
1325445065327954033,Spacious Garden Hamilton Park- Easy NYC Access,15102312,Purvin,,Ward E (councilmember James Solomon),40.72845,-74.04385,Entire home/apt,217,3,15,2025-09-24,2.37,2,204,15,STR-003659-2025
1325479055809928128,NYC Views! 3 Bedroom Duplex New,663153667,Levana,,Ward D (councilmember Michael Yun),40.75059,-74.04058,Entire home/apt,220,1,30,2025-09-02,3.49,7,52,30,STR-100001-2024
1325732397542276401,Downtown JC New & Spacious Gem 2BR/2Full Bath+Yard,237055766,Andrea,,Ward F (councilmember Jermaine D. Robinson),40.71985,-74.04997,Entire home/apt,211,1,29,2025-09-12,4.31,1,233,29,STR-006627-2024
1326059066955624938,Cozy Private Room in Jersey City,670480682,Sakshi,,Ward E (councilmember James Solomon),40.72264,-74.03432,Private room,135,28,18,2025-07-17,2.15,1,365,18,Exempt
1326231083649199138,"3B 1.5B washer, dryer, and 50 inchTV w/parking",506008693,YoungJu,,Ward F (councilmember Jermaine D. Robinson),40.71432,-74.0603,Entire home/apt,147,28,4,2025-08-03,0.68,1,124,4,
1326586998400550840,*NYCn10min”Travel Themed”King Bed”Luxury”Sleeps 6*,654310078,Earthie,,Ward A (councilmember Denise Ridley),40.69332,-74.09073,Entire home/apt,251,3,13,2025-09-21,2.34,2,44,13,STR-005771-2024
1327524965844450755,Charming & Humble Home in JC,112062187,Adam,,Ward F (councilmember Jermaine D. Robinson),40.711878694051165,-74.0644166163644,Entire home/apt,200,28,1,2025-04-18,0.19,1,365,1,
1327600554467277993,Cozy 1B1B | PATH | Renovated,130285679,Haiwen,,Ward F (councilmember Jermaine D. Robinson),40.72105,-74.06584,Private room,75,1,31,2025-09-21,7.38,1,20,31,STR-001304-2025
1327869241510938958,Master Room/Private BR in Shared Apt 20 min to NYC,170400732,Jamie,,Ward C (councilmember Richard Boggiano),40.73727,-74.06347,Private room,101,2,28,2025-08-22,3.27,5,61,28,STR-000001-2024
1328366654643899512,Cozy Private Room w/Full Bath 8 mins to Manhattan,89532467,Eric,,Ward E (councilmember James Solomon),40.73499,-74.03658,Private room,125,5,22,2025-09-17,2.54,1,156,22,
1328621742136000488,P3a only 10 mins ride to NYC,15625009,Alexander A,,Ward C (councilmember Richard Boggiano),40.73353,-74.06843,Private room,40,30,0,,,30,356,0,
1328660158743233680,P5a only 10 mins ride,15625009,Alexander A,,Ward C (councilmember Richard Boggiano),40.73194,-74.06785,Private room,34,30,0,,,30,364,0,
1329229340440771956,Room 2 in Shared Apt w Shared BR - 20 mins to NYC,170400732,Jamie,,Ward C (councilmember Richard Boggiano),40.7372687,-74.0634692,Private room,91,2,38,2025-09-10,4.40,5,100,38,STR-000002-2025
1329617140969258003,Cozy retreat | arcade |freeparking | Mins to NYC!,660402533,Eunice,,Ward D (councilmember Michael Yun),40.74188185039731,-74.04772315828801,Entire home/apt,527,28,1,2025-01-27,0.12,2,270,1,
1332674530356788685,Large Modern Apt 8 min to PATH + 20 minutes to NYC,170400732,Jamie,,Ward C (councilmember Richard Boggiano),40.73617639369086,-74.06400409361049,Entire home/apt,296,3,5,2025-09-05,0.80,5,93,5,STR-000002-2025
1332848832482404301,Bright&Stylish Room in Jersey City/Easy NYC Access,266139814,Melisa Turgay,,Ward E (councilmember James Solomon),40.718482422855246,-74.04467683923163,Private room,97,28,2,2025-07-30,0.67,5,331,2,
1333309973002519099,3 BD w/ Open Kitchen and Quick Route to NYC!,585550351,Cody,,Ward D (councilmember Michael Yun),40.75090644081145,-74.04358986494435,Entire home/apt,295,2,22,2025-09-10,2.99,2,141,22,STR-003271-2024
1333525302413174509,Sky High Retreat near NYC W/Rooftop!,120784945,Mohammad,,Ward F (councilmember Jermaine D. Robinson),40.71011814573652,-74.06726645767212,Entire home/apt,378,1,55,2025-09-14,6.55,3,120,55,STR-006020-2024
1335363480709153320,Amazing suite with private bath,515266242,Benjamin,,Ward A (councilmember Denise Ridley),40.70464521971293,-74.09073675752931,Private room,80,28,2,2025-08-13,0.30,3,357,2,
1335825465918854041,Room 1 in Shared Apt w Shared BR - 20 mins to NYC,170400732,Jamie,,Ward C (councilmember Richard Boggiano),40.737591062854015,-74.06451184623786,Private room,98,2,30,2025-09-15,3.77,5,143,30,STR-000003-2025
1336126323049993725,Best Price of the season Posh 1 bedroom WTC Views,667290279,Vishnu,,Ward E (councilmember James Solomon),40.72629207172734,-74.0415307640259,Entire home/apt,173,28,1,2025-06-14,0.29,3,133,1,
1336501575827866119,"Hotel-Style – No Host, Private Bath, Managed ID300",28260018,Bp Stays.,,Ward E (councilmember James Solomon),40.724000090420404,-74.0475876179188,Private room,138,3,6,2025-07-28,1.14,59,327,6,STR-005302-2024
1336508924072918448,"Hotel-Style– No Host, Professionally Managed ID302",28260018,Bp Stays.,,Ward E (councilmember James Solomon),40.72379523819272,-74.04662838901157,Private room,97,3,12,2025-09-01,1.67,59,331,12,STR-005302-2024
1338382526325462082,Large 3 bedroom: NYC at your door!,120876932,Olivia Morgan,,Ward D (councilmember Michael Yun),40.74908433223283,-74.0457158035457,Entire home/apt,296,2,24,2025-09-22,3.05,2,240,24,STR-000464-2025
1338670405707747731,"Bright, Stylish Townhouse Only 10 Min to NYC!",674252020,Gregory,,Ward E (councilmember James Solomon),40.72748155236492,-74.0466694395683,Entire home/apt,336,3,29,2025-09-23,3.80,1,81,29,STR-006196-2024
1339520434981355721,Cozy Studio within 8 min of PATH,130057721,Soufieh,,Ward C (councilmember Richard Boggiano),40.738029366948474,-74.0621457304996,Entire home/apt,125,90,0,,,1,358,0,
1340158389352656493,Have Your Party In Journal Square!,47421606,Dana,,Ward C (councilmember Richard Boggiano),40.72928669438641,-74.05533807869051,Entire home/apt,140,28,0,,,1,270,0,
1341010745857422065,Cozy & Convenient Stay #2C,535892414,Noor,,Ward F (councilmember Jermaine D. Robinson),40.71249581516688,-74.0721392575484,Private room,49,28,1,2025-08-09,0.63,13,360,1,
1341636063034755939,City Oasis - Close to NYC,675039706,Isabelle,,Ward B (councilmember Mira Prinz-Arey),40.721081382124495,-74.07547968836637,Entire home/apt,94,2,37,2025-09-21,4.91,1,216,37,STR-000010-2025
1343507038585774748,Cozy Room w/ Office Space,29003072,Raja,,Ward D (councilmember Michael Yun),40.749531490304854,-74.05370071193767,Private room,,4,0,,,2,0,0,STR-004351-2024
1343716006613419515,Luxury Apartment,655386630,Brian,,Ward E (councilmember James Solomon),40.73385,-74.04527,Entire home/apt,201,2,5,2025-05-19,0.68,1,79,5,STR-000006-2024
1345178934687728673,Cozy apartment 25min midtown NYC,63297307,Anna,,Ward D (councilmember Michael Yun),40.74889311894826,-74.0539163739486,Entire home/apt,111,1,4,2025-08-11,1.09,7,174,4,STR-000005-2025
1345278425217340188,Chic Pad w/ Beautiful City Views 15 min From NYC,11690147,Marlon,,Ward E (councilmember James Solomon),40.71339580754968,-74.04343031533185,Entire home/apt,429,2,33,2025-09-18,4.54,2,239,33,STR-034956-2025
1347927341528465325,True 2-bed - 20 mins to NYC! Luxury Brownstone,38493717,Monica,,Ward F (councilmember Jermaine D. Robinson),40.71741351606985,-74.05200973470781,Entire home/apt,301,1,26,2025-09-21,3.55,6,336,26,STR-001557-2025
1348031755307764324,Stylish 3BR/2BA + Rooftop Near NYC,115060287,Purnima,,Ward D (councilmember Michael Yun),40.75252177552582,-74.0452712822553,Entire home/apt,329,1,20,2025-09-05,2.69,1,132,20,STR-003077-2025
1348590345627550418,Welcoming Private Bedroom Near NYC- LightRail,566737340,West Side,,Ward B (councilmember Mira Prinz-Arey),40.71590880272561,-74.08859186324553,Private room,54,3,8,2025-08-14,1.19,11,21,8,STR-000001-2025
1348729197384003838,Newly Renovated Cozy 3BR Modern Home near NYC!,238626755,Karen,,Ward B (councilmember Mira Prinz-Arey),40.72973,-74.08054,Entire home/apt,217,2,32,2025-09-22,4.34,5,282,32,STR-005278-2024
1348816325580572400,"Hotel-Style– No Host, Professionally Managed ID247",28260018,Bp Stays.,,Ward D (councilmember Michael Yun),40.755510065142374,-74.04650779964838,Private room,76,3,19,2025-09-01,2.54,59,334,19,STR-006046-2024
1348835641092354913,"Hotel-Style– No Host, Professionally Managed ID301",28260018,Bp Stays.,,Ward E (councilmember James Solomon),40.72208,-74.04891,Private room,126,3,12,2025-09-07,2.03,59,326,12,STR-005302-2024
1352613280227544709,Chique Loft 15 Min from NYC with City View & Pool,581613953,Zoheb,,Ward E (councilmember James Solomon),40.73172660546514,-74.04561707997989,Entire home/apt,487,2,13,2025-09-07,2.48,2,24,13,STR-001457-2024
1353120188448287864,Summer's Dream w/ Lots of Space and Game Room!,585550351,Cody,,Ward D (councilmember Michael Yun),40.74373365758874,-74.0481140517993,Entire home/apt,355,2,36,2025-09-22,5.12,2,130,36,STR-003273-2024
1353711645041885299,Convenient Private Room #1687 A,533234561,Tina,,Ward B (councilmember Mira Prinz-Arey),40.72166,-74.08556,Private room,38,30,0,,,2,179,0,
1353732675886756054,Simple Private Room #1687 C,533234561,Tina,,Ward B (councilmember Mira Prinz-Arey),40.72003290967596,-74.086423460416,Private room,45,30,0,,,2,114,0,
1354439141407032177,P1 new 7 min walk to JSQ,15625009,Alexander A,,Ward C (councilmember Richard Boggiano),40.733556119890224,-74.06946046862072,Private room,54,30,0,,,30,120,0,
1354447311180176172,Apt. in JC Heights with Parking,59540877,Claudio,,Ward D (councilmember Michael Yun),40.74761259437135,-74.04408241728068,Entire home/apt,153,3,16,2025-09-14,2.89,1,200,16,STR-006430-2024
1354463710071863479,"v6 new, 10 min ride to WTC",15625009,Alexander A,,Ward C (councilmember Richard Boggiano),40.72860439274518,-74.06946947047628,Private room,37,30,0,,,30,355,0,
